deposit_avg,monthly_avg,safe_score,cvt_score
2760,42,8,9
2127,43,5,8
2842,50,9,1
3824,52,7,6
4318,42,6,3
3260,45,8,6
2362,51,3,1
2413,48,5,5
2647,41,9,5
3645,45,7,1
2367,65,9,4
2154,60,3,9
3125,40,7,4
4011,59,3,6
2651,47,9,1
2180,51,8,5
4247,54,8,5
3943,42,2,4
2171,68,4,7
4021,62,8,1
2225,41,1,9
2709,55,7,2
3422,47,9,1
3906,51,8,3
2959,40,3,8
3216,41,1,6
3461,62,5,4
3835,50,1,2
3754,67,9,1
3004,54,5,5
2213,69,2,2
3308,49,1,2
3540,62,8,7
3406,55,4,2
3234,69,2,5
3916,62,2,4
3876,55,5,7
2946,51,9,9
3540,63,1,3
2263,47,4,8
4391,64,5,4
2391,58,2,5
4357,45,9,3
2654,62,5,9
2672,66,4,9
2639,64,3,7
3484,40,7,9
3617,59,4,3
3551,41,6,8
3035,53,5,3
2565,63,9,4
3898,45,2,6
3452,60,9,3
2484,66,7,3
3521,43,4,4
2653,70,7,3
2418,45,1,4
2431,42,4,7
4226,70,6,9
2260,67,4,1
3390,43,8,3
2211,55,1,9
4107,69,3,2
3776,64,7,6
3791,57,3,3
4326,67,3,5
3898,62,9,9
2960,55,7,5
2795,43,6,4
3362,40,1,9
3816,52,1,8
2703,49,7,8
3531,63,5,3
3798,46,4,2
3857,64,6,6
2116,46,6,2
3007,41,5,9
3028,60,5,7
2375,60,3,8
3979,70,2,3
2773,53,4,7
3605,57,6,6
2900,55,5,7
3859,64,8,8
2967,66,2,1
3984,65,5,7
4030,66,5,2
3969,60,8,6
3726,55,9,9
2931,44,1,8
3562,64,1,4
2559,65,8,6
3444,70,4,4
2726,40,2,4
2281,70,7,6
2621,43,3,7
3880,48,9,7
3694,55,8,3
3852,52,1,3
2356,50,7,2
3496,69,8,7
3020,59,8,5
2269,48,8,7
2251,47,2,2
3572,47,6,6
2837,43,8,7
3220,40,2,6
3624,48,8,8
2923,58,8,1
2301,64,3,4
3007,60,5,5
3523,49,4,6
3736,40,6,1
3419,53,5,5
3480,40,8,8
3696,44,7,1
4296,52,7,7
3507,40,9,8
4057,64,2,8
2112,47,9,4
3066,50,1,8
4474,64,2,9
2133,60,7,7
2680,53,6,7
3965,56,3,1
4138,40,8,3
4381,43,7,6
3268,55,9,6
3991,62,5,3
2589,46,3,1
2409,55,3,1
2620,50,4,8
3964,63,1,2
4070,45,5,3
2678,43,2,9
3019,59,1,8
3622,51,9,5
3297,64,8,5
4096,61,7,9
2357,64,1,7
2487,68,3,4
2337,43,1,3
3066,61,2,2
2839,54,8,3
4417,40,2,7
2989,68,4,1
4397,44,6,8
3235,70,5,3
2689,52,4,2
2967,70,9,9
3067,62,7,9
4356,63,5,8
4168,43,8,9
2981,41,1,1
4052,51,3,2
4471,51,6,7
2500,54,3,5
2192,41,4,5
3973,68,3,4
2207,49,6,5
2187,67,6,6
4039,55,3,3
3216,51,3,1
3089,50,8,2
3204,70,1,7
2978,64,2,8
3956,57,7,1
3000,42,7,1
3218,52,2,1
2474,55,6,4
2538,53,4,3
2753,52,9,5
2549,45,8,7
2184,51,4,4
3675,69,7,1
3726,57,3,7
3268,66,1,5
2378,40,1,8
3720,56,3,9
2518,41,1,6
2437,54,2,2
4153,44,2,9
2608,54,6,5
2795,60,1,5
2605,69,5,8
3896,63,1,5
2528,63,1,7
2697,63,1,3
4343,65,9,3
4166,50,8,6
4269,68,8,7
3645,65,9,9
3849,60,5,6
4356,55,7,4
2555,68,5,1
2371,43,4,9
4174,64,6,6
2647,63,1,6
3588,68,1,5
2805,52,6,6
4101,53,3,6
2105,43,4,3
4290,52,4,4
3482,61,4,2
4396,62,8,1
3479,47,6,1
2918,52,8,3
3259,40,3,9
2730,63,5,8
3022,69,2,5
3931,44,2,9
2877,56,4,2
4126,64,4,2
4319,70,8,4
4348,53,2,2
4021,56,5,6
4472,42,5,7
3041,62,8,8
3972,70,1,7
2232,48,5,2
2592,66,6,8
2124,62,2,3
4027,65,7,5
3370,42,7,2
4488,59,7,5
3090,63,5,2
4197,69,6,3
3716,61,9,9
2285,56,4,1
3210,70,2,4
2188,70,2,6
3907,42,4,5
2617,44,8,7
4429,61,8,2
3642,48,4,5
4155,63,6,5
2994,51,7,7
4483,54,9,1
2217,65,7,3
3242,55,9,9
3677,57,5,4
3363,45,5,9
4343,59,8,4
2278,47,4,2
3863,68,2,5
2429,67,3,5
2537,53,4,6
3929,63,7,9
2671,41,6,6
3445,67,5,3
3748,59,4,9
2957,47,5,3
2624,58,9,8
3085,53,7,8
2842,61,1,2
4224,45,7,2
3728,52,9,7
3350,60,8,9
4245,56,2,5
3216,66,7,4
4486,43,9,3
4487,57,5,9
3680,46,7,7
3115,56,7,3
2669,55,4,7
3273,43,8,3
3422,54,7,5
2598,58,1,2
3636,42,1,1
3900,57,7,7
3403,54,1,6
4120,63,1,2
4147,62,6,2
3344,53,8,9
2338,56,2,4
3933,58,5,4
4246,53,1,4
3743,60,1,8
2432,70,8,4
2475,48,7,1
2939,47,4,2
3588,51,3,6
2119,61,7,9
2426,69,1,4
4330,40,6,7
2870,56,3,8
2322,47,6,8
2641,64,5,9
4286,53,3,8
2902,57,8,1
2366,69,5,1
2930,50,9,3
4312,51,9,8
3203,45,1,3
2545,54,4,5
3986,45,5,4
4069,54,6,6
2122,53,5,7
4050,59,8,7
2645,69,5,3
2684,69,3,8
3067,48,9,1
4303,58,3,5
4117,66,7,5
2826,51,6,1
3526,65,8,3
2581,41,4,4
3051,48,6,1
4221,55,2,4
3829,67,8,8
2346,63,1,5
3830,51,9,4
3683,43,5,8
3936,58,3,9
4096,65,7,4
4305,44,8,4
2563,46,4,2
4372,57,4,4
4110,54,9,9
2693,43,7,5
4143,69,9,8
3142,48,6,4
3669,46,7,3
2317,52,1,3
2859,67,5,7
3953,64,5,3
2283,55,7,1
2277,60,9,9
2974,67,5,8
3498,43,7,6
3526,55,4,1
3186,41,2,8
3642,40,2,7
3070,64,2,8
4333,50,1,5
3397,66,7,4
3580,67,9,5
2945,50,2,2
2202,65,6,7
2564,56,7,8
2862,69,9,8
2740,57,6,6
2825,70,4,7
2589,68,8,2
2356,50,4,7
4234,56,6,8
2675,44,8,3
3928,40,2,1
2751,45,7,4
3349,54,6,3
2533,47,4,7
2710,43,2,6
2649,60,3,5
3582,51,4,5
4093,61,3,8
3496,45,8,5
2491,48,9,5
3571,57,1,3
2731,66,6,7
4374,48,5,5
4104,44,6,9
3340,67,8,8
2571,59,3,3
2634,48,3,2
3235,64,2,8
4284,43,4,1
4046,53,5,4
2366,49,5,5
2608,63,7,6
4380,51,5,4
3927,63,3,5
3271,58,6,3
2120,56,5,7
3678,53,2,4
3124,53,7,8
3733,56,3,9
2910,43,6,2
3770,54,8,3
2631,67,8,4
2982,60,2,5
2932,65,6,2
3754,63,8,7
2662,58,5,5
4270,56,7,8
2125,69,2,9
2432,61,8,9
4352,47,1,4
2557,61,7,6
2988,67,6,4
4278,65,9,1
2646,53,1,9
3798,40,2,3
4103,51,8,4
4175,60,3,9
3844,50,8,6
2124,65,2,4
4080,67,7,7
2726,47,8,8
2602,70,2,2
2992,66,9,2
3230,42,6,4
4405,48,8,6
2178,61,9,2
3549,65,5,7
2859,56,8,9
2138,70,4,6
2205,67,4,1
2969,48,3,9
4397,47,5,2
2791,63,7,8
4342,44,2,1
3108,46,1,4
2391,50,6,4
2283,56,7,5
4038,48,1,5
2152,53,7,6
3107,45,4,4
4157,49,9,1
4493,59,7,4
3940,51,5,1
3229,69,5,4
3297,68,4,3
2210,69,3,9
3935,43,2,6
3886,42,3,2
3998,47,5,3
3749,57,3,3
3272,41,8,4
2959,55,7,5
4484,49,7,5
2957,47,4,1
2656,45,2,4
3534,56,7,6
2686,43,2,8
3440,54,6,3
3328,69,4,6
2898,52,3,8
3269,45,5,6
3990,68,9,5
3091,52,4,4
2880,65,4,9
4251,56,7,3
3970,58,9,4
3910,68,4,8
3045,55,9,2
3343,51,9,1
3823,69,9,8
3557,43,8,4
4398,51,8,9
3462,62,7,4
4482,40,6,9
3077,49,6,8
2338,50,8,5
3174,46,3,5
2978,48,1,5
4414,53,5,1
3270,58,5,6
4292,46,3,1
3475,40,5,8
2862,54,8,2
2692,61,4,7
3615,59,5,5
3826,50,8,1
2537,66,9,6
3044,69,5,6
2326,41,2,4
3875,53,2,2
4157,43,2,8
4156,66,1,7
2420,63,5,2
4363,57,4,5
2172,48,9,7
2132,63,9,7
4386,44,5,5
4499,58,6,5
2438,49,8,4
2544,43,7,2
2987,57,4,1
2937,56,3,1
3594,61,2,9
2189,42,5,8
3370,48,3,7
2518,47,1,2
4348,47,8,3
3175,58,9,9
3857,65,8,7
3334,56,5,1
2157,57,5,3
4168,43,2,5
2963,40,2,2
2922,69,7,9
3195,60,4,7
2145,68,7,7
2332,44,9,3
3516,70,4,5
4492,45,3,3
3737,43,5,6
3700,63,8,1
3012,51,4,4
4375,41,2,7
2369,52,1,6
3834,46,5,7
4027,50,8,6
3054,63,8,4
2150,49,5,6
4380,65,6,2
3824,45,5,9
2358,42,8,6
4327,55,6,5
3561,43,9,2
4432,63,3,5
2651,52,2,1
3832,61,1,6
2694,70,4,2
2600,50,8,7
3466,51,8,8
3531,47,6,2
3169,68,2,9
3936,48,4,1
2447,47,2,3
2113,60,7,3
2767,59,2,5
3583,49,8,6
3540,51,1,7
2161,60,3,5
2487,58,1,8
2148,48,7,3
3907,60,9,9
2836,43,7,4
2870,40,2,4
2282,58,3,1
2355,40,4,6
3878,66,5,4
3982,63,8,6
3567,61,2,9
4274,67,1,2
3575,65,5,1
4307,40,8,3
3031,67,4,6
3695,49,6,3
3302,65,1,2
4405,55,4,4
3120,43,1,9
2326,65,5,7
3714,65,8,4
4312,55,3,3
3285,52,4,1
2202,61,5,3
3306,48,4,5
3296,56,6,4
4403,46,8,9
4060,65,7,2
2400,67,9,4
3401,53,6,1
3100,53,8,4
4057,54,4,8
4493,47,4,7
2295,70,8,6
3266,48,9,7
2101,43,2,3
4226,45,6,2
3767,64,7,3
4261,59,5,7
2920,46,6,7
3021,64,9,6
3772,62,9,4
2753,61,1,4
4153,64,8,8
4082,50,5,8
2865,59,9,6
3266,53,5,7
4428,52,8,6
3143,56,8,1
2699,48,8,7
3570,66,3,7
3519,70,3,9
4460,64,6,9
3874,61,6,7
3903,52,9,2
4361,70,7,7
4321,51,9,8
2656,60,3,8
2791,58,4,9
3439,51,4,6
2505,46,9,1
2496,63,4,4
3729,65,7,6
2391,42,9,2
4437,41,2,4
4370,61,9,9
3471,58,4,9
3594,53,1,2
3693,52,5,6
3148,52,6,9
4292,51,9,3
3268,61,3,5
2710,49,9,9
4127,45,5,7
2566,70,5,5
3797,48,7,1
2875,47,8,3
3639,63,3,2
3345,48,8,3
2150,69,2,1
4481,60,8,2
3023,64,2,3
2986,67,5,8
3958,50,5,9
3439,70,3,6
2783,66,4,8
3017,56,5,6
2489,66,3,3
3408,54,4,6
3655,66,4,8
3880,45,6,1
2813,41,9,8
3976,46,7,3
3363,61,2,6
2307,68,9,7
4497,48,3,9
3100,41,1,4
4409,44,4,6
3800,40,4,1
2325,55,4,8
2984,64,6,9
4376,69,5,9
3521,46,8,3
3439,54,8,8
3867,62,4,8
3659,70,3,2
3009,70,8,7
3417,45,7,3
2505,56,7,6
4334,66,8,6
2561,66,1,8
4082,40,4,1
3340,44,7,1
2502,69,8,3
4016,51,2,9
2813,57,1,7
4276,40,7,9
3297,45,3,7
3942,52,1,1
4432,69,8,9
2205,45,2,7
2926,48,2,8
3804,63,7,7
2294,51,2,3
2238,54,5,6
4329,61,4,9
3716,42,6,5
4353,58,2,6
4330,47,4,4
3474,68,6,5
4156,48,4,9
3217,61,4,5
3451,65,4,9
2633,47,2,2
2277,61,3,5
2964,45,5,5
4045,43,6,9
2832,59,3,1
4428,49,5,9
3343,44,5,9
2192,40,9,1
3462,45,2,5
3988,49,6,3
4091,61,3,9
3919,68,7,5
3284,43,1,7
3369,62,7,2
3928,64,7,4
4224,45,8,1
2352,58,6,6
4444,51,8,8
3672,59,9,2
3911,49,7,5
4017,56,2,3
3123,45,7,7
3611,60,2,8
4500,55,8,1
2334,69,8,7
2690,57,4,7
4357,50,9,7
2654,68,3,5
3619,55,6,2
3941,64,6,5
3928,54,1,8
2828,61,3,4
3214,54,2,5
3855,70,6,3
2189,47,3,3
3978,54,6,8
4472,59,5,6
2182,63,4,4
3626,55,3,2
2416,56,9,3
4047,61,1,1
3184,61,3,6
4293,60,4,2
2919,55,6,7
3720,51,3,4
2153,56,8,2
3823,46,6,5
2112,63,9,8
2960,47,5,1
2335,68,2,6
2662,42,6,9
2497,46,6,8
3678,48,9,6
2471,42,6,9
4143,69,1,6
2460,68,4,7
2937,56,8,1
2849,70,8,3
3795,58,6,7
3088,62,3,4
3937,66,9,1
3847,63,7,4
4135,41,5,3
4037,45,3,1
3021,47,8,3
3492,50,2,1
4413,43,7,9
3677,55,6,2
3201,49,7,2
2246,49,3,8
2972,46,4,4
3072,47,1,7
3060,60,7,1
4124,69,7,3
4338,53,7,2
3552,63,8,2
4450,54,8,9
4431,46,8,3
3935,43,4,4
2503,64,9,9
3211,47,9,4
4394,48,7,6
3437,67,3,2
4176,55,2,1
4366,45,9,6
2959,47,8,3
2182,70,5,7
2619,68,5,6
3062,49,3,9
3594,69,3,3
2834,51,7,5
4192,58,3,9
4270,70,9,5
3776,51,3,6
3430,57,5,3
2300,40,1,8
2376,59,5,3
2350,69,9,8
2396,66,2,5
3721,48,1,1
3650,54,9,2
3883,44,6,7
2574,56,2,9
4172,55,2,1
3085,64,1,6
4155,45,6,3
3366,60,2,6
3612,61,5,2
2515,59,9,9
4031,57,6,9
2127,51,6,2
2709,58,9,9
3104,41,8,7
3748,63,4,7
3482,59,8,3
3328,68,4,5
3499,66,9,4
4378,70,1,9
2512,50,1,9
3733,47,9,2
2604,64,8,8
4093,54,1,6
4354,69,1,5
3460,50,4,8
2319,58,8,8
3687,63,5,3
2805,58,4,5
3895,42,8,8
2528,41,6,2
2532,59,6,1
3509,42,1,5
3727,66,1,9
2626,68,4,6
3984,70,2,5
3081,51,1,7
4299,40,8,6
2252,47,4,4
4118,52,7,2
2897,63,6,6
4357,69,8,8
2161,43,7,3
2348,65,4,5
3720,46,1,8
2980,62,9,3
4089,67,3,6
4440,63,1,2
3894,49,1,5
2211,66,9,2
3187,51,8,2
3776,55,3,8
2589,48,6,5
2627,54,5,5
4368,54,5,5
3139,61,9,9
4374,47,6,1
3314,47,8,5
4480,69,3,2
4359,44,2,2
3419,41,7,6
4411,41,2,7
3012,43,4,7
3056,69,2,2
3573,69,9,9
2391,47,9,9
2553,45,6,8
3689,43,1,4
2563,62,5,2
3577,61,9,1
2318,42,8,4
2202,64,6,9
3305,42,5,6
2301,43,7,8
4257,58,4,1
2758,52,7,5
4286,41,1,5
2289,55,9,6
2564,60,9,8
2495,56,4,1
3467,43,1,1
3435,46,9,4
4139,67,7,5
2815,48,7,9
4477,44,9,9
2905,53,2,3
2488,40,4,4
2451,46,1,8
4378,60,8,6
3853,61,7,7
3953,50,6,8
3903,40,6,3
3470,51,3,5
3829,61,9,1
3396,47,9,4
4251,68,8,5
3284,45,4,3
3116,69,1,8
2545,67,1,3
2521,47,1,4
2424,58,7,1
4105,60,7,6
2282,57,7,8
4040,47,1,2
4254,60,4,6
2175,48,2,8
2122,69,8,4
2276,49,3,3
4249,53,3,1
3924,53,6,8
3250,43,3,5
2269,70,5,6
3153,53,7,3
3893,47,2,6
3469,54,4,8
3521,49,2,5
2562,54,5,5
3334,49,2,8
3839,56,6,9
2904,70,4,6
2817,43,3,3
2109,46,5,1
2260,54,2,9
2725,54,1,1
4006,59,3,5
2461,44,5,1
2458,49,2,6
2207,50,1,7
3530,64,7,7
2988,49,3,3
4474,65,8,4
3895,69,2,6
2253,41,9,6
3605,48,1,9
2708,47,7,3
2815,69,2,7
4144,55,1,6
2619,67,6,3
3634,55,8,8
2907,51,2,9
4307,56,6,2
2870,64,4,3
2787,48,2,9
2543,41,2,1
4028,60,7,5
2916,61,5,3
3605,45,2,9
2658,51,1,6
4446,59,8,7
2153,67,1,6
2298,48,6,8
3862,65,3,8
2959,70,1,1
2433,66,5,7
2358,63,1,3
4428,61,7,5
2285,61,7,9
3685,53,9,2
3162,61,6,8
4217,65,4,4
3659,42,4,3
3115,58,7,6
3770,54,2,9
4468,58,9,8
4265,66,2,9
2786,65,9,8
4041,56,5,5
3019,63,7,2
4104,47,7,7
2442,55,7,7
4044,69,2,9
3318,52,2,5
4036,68,6,8
2368,44,1,2
2395,57,3,7
4201,55,7,8
4070,66,5,5
3561,45,3,3
2312,67,6,3
4328,50,5,5
3753,41,2,8
2386,50,8,3
2551,47,2,8
3894,58,4,5
2688,44,5,3
2172,58,1,1
2506,57,5,3
4346,41,3,1
4017,64,3,3
2882,45,2,2
2780,61,2,7
4231,51,6,3
2597,51,6,3
3942,60,2,6
3125,47,4,8
3841,46,3,2
3547,68,9,6
2816,55,3,7
4075,67,4,1
3473,42,9,4
2580,55,4,2
3374,41,9,7
2196,51,6,8
3609,49,9,2
3776,57,2,1
4360,51,5,1
2150,62,3,4
2654,63,4,3
2247,54,2,1
3576,61,4,4
4240,55,8,4
2292,70,9,4
4335,52,9,8
3227,40,3,3
4485,43,3,1
2916,47,1,7
3706,69,1,6
3108,58,1,9
2856,65,3,8
4033,61,7,5
3835,44,9,6
2907,48,4,7
3707,42,6,5
3354,43,8,7
2610,44,1,4
3225,41,7,7
3117,42,6,3
2540,51,3,6
3306,66,2,6
4426,61,7,9
2927,61,9,1
2840,66,8,3
2211,55,4,7
2726,49,6,5
3961,44,3,4
4275,55,9,9
2776,69,6,7
2922,64,4,5
2349,55,5,2
2366,69,1,6
2635,60,4,1
3104,69,2,2
4328,58,2,4
2232,51,8,1
3446,64,8,8
4395,69,2,6
3046,62,7,3
4455,43,3,6
2407,60,3,7
2213,43,6,1
2306,44,1,7
4367,65,8,2
2345,40,5,8
4480,48,8,8
3654,58,8,9
4026,67,6,2
3445,56,8,7
4160,43,4,4
3636,44,8,8
4030,56,3,8
2101,52,1,6
2808,69,3,1
2544,66,8,9
3898,67,8,2
3017,47,4,9
3767,68,4,2
3250,58,3,4
3286,65,9,3
3498,48,3,5
4456,59,4,1
2782,52,8,5
2504,49,6,7
3316,53,4,4
2209,44,6,5
2268,70,2,5
4488,65,8,4
3341,45,5,2
3107,46,6,5
3789,69,3,6
2283,51,6,2
4075,48,8,3
4338,59,5,8
3511,43,6,3
3020,67,6,5
2502,40,1,8
2593,57,6,9
4142,63,3,6
2926,67,9,5
2349,41,1,7
3709,67,4,2
2547,49,4,3
2341,52,5,1
3112,47,6,4
2511,51,8,7
2135,47,9,1
2494,69,7,1
3216,43,8,7
4137,42,4,9
3741,54,6,3
3588,43,9,9
2449,53,7,1
4430,48,4,7
2969,54,8,4
3844,64,5,9
3986,49,4,4
3616,62,2,8
4464,66,4,3
2646,65,8,6
2562,47,1,8
4424,68,7,8
2676,46,7,8
2779,55,7,4
3458,65,1,5
2581,51,6,5
2835,46,9,1
3887,68,5,8
3102,70,5,8
4448,50,4,5
3748,46,3,1
2641,52,3,1
4390,49,9,2
4047,59,8,2
2776,44,1,7
3478,55,9,8
4487,49,5,3
2987,63,1,8
3978,58,1,8
2952,43,9,9
2722,61,8,7
2533,70,3,9
3386,64,4,9
2768,57,9,4
2428,64,9,7
2365,61,1,7
3202,64,4,8
2325,68,2,1
2406,67,4,7
3164,57,2,1
2397,47,8,4
3333,58,5,9
3885,50,9,9
2721,69,3,7
3900,47,7,7
2754,46,8,1
4159,53,4,5
4390,64,9,8
2329,50,3,7
3965,64,4,4
3622,52,6,8
2980,50,2,5
3631,64,7,4
2453,54,2,7
3371,66,3,7
3081,48,9,3
3276,63,5,9
3637,61,7,5
3141,55,5,3
4443,59,5,6
4214,56,5,4
3771,66,8,9
3050,58,2,5
2645,43,3,1
3578,69,3,4
2686,55,1,1
4305,45,5,7
2194,66,6,7
2678,48,8,5
3137,52,2,3
3916,46,7,5
2253,67,6,9
4277,56,4,7
3299,51,6,7
4174,50,9,2
3927,41,4,3
3263,57,9,6
3436,70,2,7
3218,43,6,2
4378,46,9,4
4291,56,9,5
2169,63,9,2
4298,45,9,2
3352,65,6,3
2464,70,3,3
2457,55,7,9
3012,67,4,9
3945,48,4,9
4364,68,9,6
2924,53,5,7
2440,42,5,6
2676,53,2,9
3553,43,8,1
3415,40,8,7
2770,41,8,5
3053,45,4,9
2917,65,1,6
4471,56,1,8
2507,67,7,8
4025,57,8,4
3680,63,9,2
4436,41,8,7
3624,57,7,7
4223,60,9,7
2585,59,3,6
2119,58,2,4
3392,47,7,7
2379,64,7,3
4219,57,8,2
4183,56,7,7
3549,58,9,7
3153,60,3,2
3489,41,4,4
2579,40,3,1
2709,62,9,7
3365,51,4,3
3807,65,7,3
3694,56,2,7
4419,63,4,5
2532,70,9,4
4197,64,4,3
2996,45,4,6
2327,41,5,3
2487,47,5,4
3166,67,7,7
3802,44,4,7
3416,55,3,5
4451,70,5,3
2566,65,5,2
4343,41,7,1
3562,42,5,5
3612,55,7,7
4212,57,2,1
3660,52,1,9
3646,42,2,8
4197,60,6,5
3219,58,2,1
3833,43,4,2
2861,66,9,5
3187,63,3,7
3994,53,8,6
2331,63,9,8
2712,55,8,1
2875,41,9,8
4278,40,6,2
2304,55,3,9
2638,51,4,9
3687,54,2,2
3878,44,5,1
3011,55,5,4
3350,67,3,2
4480,48,2,1
3537,53,6,5
2818,54,8,9
2348,67,9,6
2162,56,4,7
2650,55,5,3
3391,68,6,3
2962,68,4,9
3373,51,7,6
3022,46,3,8
2382,60,3,4
3618,43,3,9
3656,56,3,9
4159,68,8,4
2847,45,2,4
3582,44,6,3
2691,47,8,5
3525,64,4,9
3891,58,8,6
4478,42,8,4
2617,55,9,6
2640,48,8,2
4037,61,8,3
3944,57,4,3
2995,46,3,5
3588,68,9,9
2477,44,7,7
2694,62,6,1
4127,48,4,8
3976,44,7,4
3519,45,9,6
4092,63,8,3
3357,46,3,5
4302,67,6,2
3414,57,9,8
2171,70,9,5
3654,53,3,3
2547,64,8,6
4261,59,1,9
2251,54,6,8
3729,53,5,6
4227,66,9,9
2985,59,4,3
2167,69,1,7
3385,66,5,4
3469,62,7,9
2927,65,2,6
4050,51,9,3
2523,63,7,1
4208,70,2,1
3554,46,7,5
2997,54,8,9
3398,49,4,3
4321,70,7,1
2829,44,5,5
4482,42,6,7
4045,59,7,5
3402,64,8,6
2335,50,7,1
2600,61,2,9
2482,70,5,9
2872,67,8,6
4026,65,1,2
3133,43,9,2
2260,63,4,5
3504,48,9,2
4375,58,6,6
2255,45,6,9
3334,45,1,7
3267,46,7,9
3410,68,4,3
2845,67,9,8
4336,40,1,3
4207,43,8,7
3831,60,3,6
2915,66,7,3
2105,68,7,7
3053,68,7,8
2934,59,5,2
2707,40,6,2
2917,55,9,1
3173,60,7,1
2736,43,6,6
2566,55,6,5
2130,46,6,3
3379,49,1,8
3905,70,8,3
2399,64,4,7
2884,60,9,6
3386,52,1,5
2945,66,8,8
2376,61,3,6
2995,61,8,4
2378,49,1,1
2750,44,2,3
3397,54,6,8
2521,69,5,3
3372,52,8,9
2649,49,6,5
3892,56,5,7
2815,56,3,5
4473,59,7,5
3875,61,9,3
2642,57,6,6
4126,49,9,1
2831,68,5,9
3264,62,3,7
3731,54,8,1
2541,42,2,2
3930,45,3,5
3089,49,7,8
2502,52,3,4
2864,43,6,9
4423,68,3,7
2470,45,2,7
4429,63,6,7
3251,53,4,2
3687,59,3,2
4466,68,6,6
4240,54,8,6
3999,41,6,4
3643,59,6,2
3558,59,5,4
3515,49,7,8
2660,66,8,6
2426,55,3,5
3841,56,4,9
2395,43,9,7
2927,45,2,4
2452,67,6,4
3138,59,5,9
3142,52,1,6
2188,60,3,9
2846,69,2,6
2834,66,9,3
3920,55,8,9
3954,42,7,4
3338,50,9,8
4476,51,5,7
3184,65,6,1
4402,58,3,8
2163,53,3,8
3977,57,3,4
3726,43,1,3
2695,70,3,4
3194,47,5,8
3760,54,4,5
3709,59,4,2
3970,42,1,4
3775,49,5,5
3910,50,4,5
4264,53,9,2
3193,68,8,9
2748,65,3,3
3191,58,8,9
2683,60,8,7
2807,69,2,2
2197,60,4,3
3945,69,3,2
3148,65,6,7
2848,70,5,2
4135,62,8,9
4394,65,7,3
2301,47,8,3
3634,62,6,5
2278,70,6,9
2898,66,9,9
2254,56,4,9
2128,56,3,1
2457,63,1,2
3863,52,8,3
2142,61,7,5
3981,68,7,6
3396,56,3,3
2271,67,6,2
2864,43,5,8
2213,51,7,2
4098,45,1,3
2886,67,7,2
3319,61,2,9
4401,61,9,8
3958,47,2,5
3404,54,5,7
3774,54,2,8
4498,52,2,8
3598,51,3,9
3950,46,7,8
3649,42,3,3
3193,48,9,5
3763,61,7,6
3509,69,5,1
2411,48,6,8
2298,54,2,4
2401,41,3,3
3099,63,6,7
3855,53,1,8
3332,40,4,4
3810,68,6,5
4332,57,5,1
2887,55,8,8
2550,45,9,8
3500,47,8,6
2409,47,6,9
4141,61,9,1
3975,67,2,1
4309,70,2,8
3458,70,4,5
3747,43,2,7
2714,59,6,5
3863,53,2,8
4193,63,2,8
4269,47,5,6
4123,57,1,3
3849,52,9,8
2143,68,6,9
2569,64,5,1
4488,50,4,3
2296,48,3,6
3883,70,1,7
2912,54,6,1
3892,49,3,3
3205,56,7,5
