번호,시각,스레드,소요시간(ms),SQL타입,커넥션ID,테이블,SQL(200자)
32,2025-12-17 19:20:20.047,http-nio-8185-exec-43,16,SELECT,21,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
33,2025-12-17 19:20:20.081,http-nio-8185-exec-43,5,SELECT,5,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
34,2025-12-17 19:20:20.081,http-nio-8185-exec-41,6,SELECT,2,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
35,2025-12-17 19:20:20.081,http-nio-8185-exec-21,5,SELECT,4,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
36,2025-12-17 19:20:20.081,http-nio-8185-exec-47,5,SELECT,7,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
37,2025-12-17 19:20:20.081,http-nio-8185-exec-37,5,SELECT,3,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
38,2025-12-17 19:20:20.081,http-nio-8185-exec-50,5,SELECT,9,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
39,2025-12-17 19:20:20.081,http-nio-8185-exec-41,6,SELECT,25,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
40,2025-12-17 19:20:20.081,http-nio-8185-exec-21,6,SELECT,23,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
41,2025-12-17 19:20:20.081,http-nio-8185-exec-31,5,SELECT,1,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
42,2025-12-17 19:20:20.081,http-nio-8185-exec-26,5,SELECT,10,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
43,2025-12-17 19:20:20.082,http-nio-8185-exec-37,6,SELECT,24,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
44,2025-12-17 19:20:20.081,http-nio-8185-exec-2,6,SELECT,8,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
45,2025-12-17 19:20:20.081,http-nio-8185-exec-29,6,SELECT,6,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
46,2025-12-17 19:20:20.081,http-nio-8185-exec-43,6,SELECT,21,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
47,2025-12-17 19:20:20.082,http-nio-8185-exec-50,6,SELECT,27,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
48,2025-12-17 19:20:20.082,http-nio-8185-exec-47,6,SELECT,19,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
49,2025-12-17 19:20:20.082,http-nio-8185-exec-29,6,SELECT,22,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
50,2025-12-17 19:20:20.082,http-nio-8185-exec-31,6,SELECT,20,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
51,2025-12-17 19:20:20.082,http-nio-8185-exec-26,6,SELECT,28,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
52,2025-12-17 19:20:20.082,http-nio-8185-exec-2,6,SELECT,26,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
53,2025-12-17 19:20:20.096,http-nio-8185-exec-50,0,SELECT,9,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
54,2025-12-17 19:20:20.095,http-nio-8185-exec-41,0,SELECT,2,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
55,2025-12-17 19:20:20.096,http-nio-8185-exec-43,0,SELECT,5,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
56,2025-12-17 19:20:20.096,http-nio-8185-exec-31,0,SELECT,1,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
57,2025-12-17 19:20:20.096,http-nio-8185-exec-50,1,SELECT,27,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
58,2025-12-17 19:20:20.095,http-nio-8185-exec-21,0,SELECT,4,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
59,2025-12-17 19:20:20.095,http-nio-8185-exec-2,0,SELECT,8,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
60,2025-12-17 19:20:20.096,http-nio-8185-exec-31,1,SELECT,20,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
61,2025-12-17 19:20:20.096,http-nio-8185-exec-26,0,SELECT,10,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
62,2025-12-17 19:20:20.096,http-nio-8185-exec-21,1,SELECT,23,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
63,2025-12-17 19:20:20.096,http-nio-8185-exec-29,0,SELECT,6,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
64,2025-12-17 19:20:20.095,http-nio-8185-exec-37,0,SELECT,3,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
65,2025-12-17 19:20:20.096,http-nio-8185-exec-41,1,SELECT,25,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
66,2025-12-17 19:20:20.095,http-nio-8185-exec-47,0,SELECT,7,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
67,2025-12-17 19:20:20.096,http-nio-8185-exec-37,1,SELECT,24,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
68,2025-12-17 19:20:20.096,http-nio-8185-exec-43,1,SELECT,21,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
69,2025-12-17 19:20:20.096,http-nio-8185-exec-26,1,SELECT,28,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
70,2025-12-17 19:20:20.096,http-nio-8185-exec-47,1,SELECT,19,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
71,2025-12-17 19:20:20.096,http-nio-8185-exec-2,1,SELECT,26,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
72,2025-12-17 19:20:20.096,http-nio-8185-exec-29,1,SELECT,22,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
73,2025-12-17 19:20:20.104,http-nio-8185-exec-41,0,SELECT,2,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
74,2025-12-17 19:20:20.104,http-nio-8185-exec-2,0,SELECT,8,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
75,2025-12-17 19:20:20.104,http-nio-8185-exec-50,0,SELECT,9,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
76,2025-12-17 19:20:20.104,http-nio-8185-exec-29,0,SELECT,6,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
77,2025-12-17 19:20:20.104,http-nio-8185-exec-21,0,SELECT,4,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
78,2025-12-17 19:20:20.104,http-nio-8185-exec-43,0,SELECT,5,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
79,2025-12-17 19:20:20.104,http-nio-8185-exec-47,0,SELECT,7,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
80,2025-12-17 19:20:20.104,http-nio-8185-exec-37,0,SELECT,3,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
81,2025-12-17 19:20:20.104,http-nio-8185-exec-41,0,SELECT,25,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
82,2025-12-17 19:20:20.104,http-nio-8185-exec-43,1,SELECT,21,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
83,2025-12-17 19:20:20.104,http-nio-8185-exec-50,1,SELECT,27,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
84,2025-12-17 19:20:20.104,http-nio-8185-exec-47,1,SELECT,19,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
85,2025-12-17 19:20:20.104,http-nio-8185-exec-31,0,SELECT,1,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
86,2025-12-17 19:20:20.104,http-nio-8185-exec-37,0,SELECT,24,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
87,2025-12-17 19:20:20.104,http-nio-8185-exec-29,1,SELECT,22,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
