개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y)
3220000,PHMA220153220033021200003,2015-07-24,,1,영업/정상,13,영업중,,,,,02-539-2250,1392.61,,,"서울특별시 강남구 테헤란로 337 (역삼동, 4~9층)",6150,강남초이스병원,2025-04-02 18:21,U,04:00.0,병원,204215.1626,444731.3865
3110000,PHMA220253110032021200001,2025-05-29,,1,영업/정상,13,영업중,,,,,02-6954-1149,1416.62,,서울특별시 은평구 응암동 119-33 정원빌딩,"서울특별시 은평구 응암로 267, 정원빌딩 (응암동)",3455,내일한방병원,2025-07-28 11:16,U,00:00.0,한방병원,192747.9159,454846.2438
3200000,PHMA219953200033021200001,1995-05-20,,1,영업/정상,13,영업중,,,,,1661-8267,5712.14,,,서울특별시 관악구 관악로 242 (봉천동),8735,강남고려병원,2025-04-25 8:58,U,07:00.0,병원,196106.5516,442595.6712
3220000,PHMA220163220033021200001,2016-04-21,,1,영업/정상,13,영업중,,,,,02-547-4800,3717.97,,,"서울특별시 강남구 봉은사로 535 (삼성동, 트리니티재활병원빌딩, 지하1,2층, 지상1~11층)",6087,트리니티병원,2025-05-15 9:39,U,07:00.0,병원,205116.1952,445783.2671
3150000,PHMA220253150037021200001,2025-05-29,,1,영업/정상,13,영업중,,,,,02-3665-0823,1308,,서울특별시 강서구 등촌동 700 플러스존,"서울특별시 강서구 공항대로41길 34, 플러스존 3,8,9층 (등촌동)",7587,강서푸른꿈성모어린이병원,2025-05-29 9:38,I,01:00.0,병원,186299.7427,450792.0165
3220000,PHMA220253220033021200002,2025-08-01,,1,영업/정상,13,영업중,,,,,02-517-1110,1016.75,,"서울특별시 강남구 논현동 49-18 지하1~2층,2~5층","서울특별시 강남구 강남대로132길 5, 지하1~2층,2~5층 (논현동)",6044,하병원,2025-08-01 9:08,I,03:00.0,병원,201835.3947,445560.7027
3240000,PHMA220143240033021200004,2014-09-12,,1,영업/정상,13,영업중,,,,,02-333-3080,1869.38,,,서울특별시 강동구 천호대로 1044 (성내동),5379,리더스병원,2025-08-20 14:35,U,03:00.0,병원,211228.9732,448307.4861
3090000,PHMA219933090033021200001,1993-02-03,,1,영업/정상,13,영업중,,,,,02-3492-3251,14272.24,,서울특별시 도봉구 도봉동 617-21,서울특별시 도봉구 도봉로 755(도봉동),1310,서울노보스병원,2025-08-07 9:09,U,09:00.0,병원,203784.0308,463306.5612
3220000,PHMA220053220033021200002,2005-03-03,,1,영업/정상,13,영업중,,,,,02-513-8000,3191.43,,서울특별시 강남구 청담동 47-4 우리들병원,"서울특별시 강남구 학동로 445, 우리들병원 (청담동)",6068,우리들병원,2025-03-04 17:34,U,06:00.0,병원,204322.0291,446314.4956
3230000,PHMA220253230034021200001,2025-04-25,,1,영업/정상,13,영업중,,,,,02-6949-6670,1305.76,,서울특별시 송파구 방이동 114-3,"서울특별시 송파구 오금로 173, 지하1층~지상6층 (방이동)",5641,송파한성병원,2025-07-30 11:04,U,02:00.0,병원,209993.6502,445282.21
3080000,PHMA219943080033021200001,1994-02-21,,1,영업/정상,13,영업중,,,,,02-901-1700,65284.43,,,"서울특별시 강북구 삼각산로 58 (수유동, 국립재활원)",1022,국립재활원,2025-08-22 16:33,U,04:00.0,병원,200868.4734,459614.3535
3210000,PHMA220153210034021200001,2015-12-14,,1,영업/정상,13,영업중,,,,,1588-3094,3193.16,,,서울특별시 서초구 서초중앙로 47 (서초동),6654,세바른병원,2025-07-11 11:07,U,03:00.0,병원,201287.5896,442640.1227
3220000,PHMA219943220033021200002,1994-04-25,,1,영업/정상,13,영업중,,,,,-7110,2300.89,,,서울특별시 강남구 봉은사로 612 (삼성동),6170,(의)가산의료재단 광동병원,2025-03-10 15:25,U,02:00.0,병원,205423.2863,445783.2948
3220000,PHMA220223220033021200002,2022-02-28,,1,영업/정상,13,영업중,,,,,-2838,3447.73,,서울특별시 강남구 대치동 907-16 더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",6198,더드림병원,2025-03-14 15:53,U,06:00.0,병원,204432.7108,444309.0066
3210000,PHMA220223210034021200001,2022-06-28,,1,영업/정상,13,영업중,,,,,262075678,978.5,,서울특별시 서초구 서초동 1302-2 대지스포츠프라자,"서울특별시 서초구 서운로 220, 대지스포츠프라자 4층 (서초동)",6609,자이비뇨의학과병원,2025-03-19 11:37,U,01:00.0,병원,201856.6251,444502.6367
3000000,PHMA220083000034021200001,2008-06-24,,3,폐업,3,폐업,2018-10-01,,,,02-766-2004,,110-808,서울특별시 종로구 돈의동 78번지,서울특별시 종로구 돈화문로9길 26 (돈의동),3139,춘원당한방병원,2018-10-01 13:40,U,35:18.0,한방병원,199079.0091,452168.0887
3200000,PHMA220053200033021200001,2005-12-07,,3,폐업,3,폐업,2011-10-31,,,,,,,관악구 봉천8동 945-10,서울특별시 관악구 남부순환로 1710 (봉천동),151-820,이너스치과병원,2011-10-31 18:06,I,59:59.0,치과병원,194613.5521,442291.8022
3230000,PHMA220153230034021200002,2015-04-21,,1,영업/정상,13,영업중,,,,,02-6907-2021,3203.32,,"서울특별시 송파구 문정동 634 가든파이브라이프 10층  L-10001~4, L-10006~8호","서울특별시 송파구 충민로 66, 가든파이브라이프 10층 L-10001~4,L-10006~8호 (문정동)",5838,잠실자생한방병원,2025-06-30 9:59,U,02:00.0,한방병원,210986.4607,441725.2935
3210000,PHMA220163210034021200001,2016-03-11,,1,영업/정상,13,영업중,,,,,02-6081-2114,7495.73,,,"서울특별시 서초구 양재대로 54, 지1,2층, 2~9층 (우면동, 서초참병원)",6768,의료법인 참예원의료재단 서초참요양병원,2025-07-07 9:20,U,09:00.0,요양병원(일반요양병원),202173.0729,439733.691
3230000,PHMA220223230034021200001,2022-04-29,,1,영업/정상,13,영업중,,,,,1899-5989,3411.94,,서울특별시 송파구 오금동 24-2 데코빌딩,"서울특별시 송파구 위례성대로22길 27, 데코빌딩 지하3층~4층층 (오금동)",5655,오쿨리한방병원,2025-06-02 14:23,U,04:00.0,한방병원,211457.8172,445070.3327
3240000,PHMA220243240033021200001,2024-01-25,,1,영업/정상,13,영업중,,,,,02-6416-1010,2663.12,,,"서울특별시 강동구 강동대로 243, 풍원빌딩 (성내동)",5408,리움한방병원,2025-07-28 14:08,U,00:00.0,한방병원,211685.2902,446692.4397
3240000,PHMA220193240033021200001,2019-01-24,,1,영업/정상,13,영업중,,,,,02-1899-5868,4025.06,,"서울특별시 강동구 성내동 452 지하3, 지하1 일부, 1~5층","서울특별시 강동구 강동대로 143-52, 지하3, 지하1 일부, 1~5층 (성내동)",5398,포레스트한방병원,2025-08-20 14:35,U,03:00.0,한방병원,210587.4886,447299.2299
3230000,PHMA220243230034021200002,2024-07-02,,1,영업/정상,13,영업중,,,,,02-573-9573,2077.77,,서울특별시 송파구 삼전동 180-8 태영빌딩,"서울특별시 송파구 삼학사로 53, 태영빌딩 1~7층 (삼전동)",5585,엠에스병원,2025-06-20 13:54,U,02:00.0,병원,208477.7757,444434.5232
3030000,PHMA220253030033021200001,2025-06-23,,1,영업/정상,13,영업중,,,,,02-6941-1010,1864.88,,서울특별시 성동구 용답동 99-2 남주빌딩,"서울특별시 성동구 천호대로 282, 남주빌딩 2~5층 (용답동)",4804,성동필한방병원,2025-07-07 9:09,U,09:00.0,한방병원,204535.474,451612.3287
3000000,PHMA220103000034021200001,2008-09-12,,3,폐업,3,폐업,2011-10-07,,,,3672-2233,,110-841,서울특별시 종로구 창신1동 327번지 2호 금호팰리스 4층,서울특별시 종로구 지봉로 29 (창신동),110-841,동대문요양병원,2011-10-30 14:41,I,59:59.0,요양병원(일반요양병원),201282.3783,452249.6437
3240000,PHMA220163240033021200001,2016-01-27,,1,영업/정상,13,영업중,,,,,02-1588-7740,2924.26,,,"서울특별시 강동구 양재대로 1525, 명품빌딩 (천호동)",5316,올바른서울병원,2025-08-20 14:35,U,03:00.0,병원,212416.5821,448882.4141
3210000,PHMA220243210034021200001,2013-01-25,,1,영업/정상,13,영업중,,,,,02-1899-3210,6966.07,,"서울특별시 서초구 서초동 1604-20 GL(지엘)빌딩,지하1~3층,2~8층","서울특별시 서초구 효령로 331, GL(지엘)빌딩 지하1~3층,2~8층 (서초동)",6643,서울안강병원,2025-07-11 11:07,U,03:00.0,병원,201728.6026,442694.6991
3210000,PHMA220103210034021200001,2010-04-12,,1,영업/정상,13,영업중,,,,,28320151,1594.47,137-802,서울특별시 서초구 반포4동 44번지 3호,서울특별시 서초구 서초중앙로 197 (반포동),6593,강남요양병원,2025-05-26 17:35,U,08:00.0,요양병원(일반요양병원),200998.4692,444131.0255
3210000,PHMA219993210034021200001,1999-07-24,,1,영업/정상,13,영업중,,,,,6388-8114,6663.28,137-820,서울특별시 서초구 방배동 481번지 10호,서울특별시 서초구 남부순환로 2151 (방배동),6699,대항병원,2025-06-16 13:12,U,08:00.0,병원,198865.6098,441491.1095
3080000,PHMA219823080033021200001,1982-03-29,,1,영업/정상,13,영업중,,,,,02-903-3232,6310.35,,서울특별시 강북구 수유동 45번지 7호,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",1081,의료법인성화의료재단  대한병원,2025-08-12 17:16,U,05:00.0,종합병원,201952.0908,459227.558
3210000,PHMA220143210034021200001,2014-01-09,,1,영업/정상,13,영업중,,,,,02-593-0052,3296.96,,서울특별시 서초구 서초동 1603-1 블루핀타워,"서울특별시 서초구 서초중앙로 42, 블루핀타워 지하2~4층 (서초동)",6643,장덕한방병원,2025-07-11 11:06,U,03:00.0,한방병원,201353.7405,442618.448
3070000,PHMA219883070034021200002,1988-03-29,,1,영업/정상,13,영업중,,,,,02-926-7505,3846.37,,,서울특별시 성북구 안암로 99 (안암동5가),2856,의료법인 우신향병원,2025-08-18 16:50,U,00:00.0,병원,,
3210000,PHMA220123210034021200001,2012-07-24,,1,영업/정상,13,영업중,,,,,215880831,2313.2,137-888,"서울특별시 서초구 양재동 20번지 7호 /양재동 20-4, 2층/양재동 20-20(지1~3층)",서울특별시 서초구 바우뫼로35길 32 (양재동),6744,참포도나무병원,2025-05-12 11:48,U,04:00.0,병원,203350.547,441971.9406
3080000,PHMA220103080033021200001,2010-03-24,,1,영업/정상,13,영업중,,,,,15886853,7714.93,,서울특별시 강북구 번동 463번지 44호,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",1056,서울현대병원,2025-08-18 13:56,U,00:00.0,종합병원,202451.8676,459765.522
3230000,PHMA220193230034021200004,2019-05-28,,1,영업/정상,13,영업중,,,,,02-406-0999,4471.31,,서울특별시 송파구 마천동 32번지 윤진프라자타워,"서울특별시 송파구 마천로 238, 윤진프라자타워 (마천동)",5737,송파그랜드요양병원,2025-07-07 17:17,U,09:00.0,요양병원(일반요양병원),212643.8601,444170.3201
3060000,PHMA220033060034021200027,1900-01-01,,1,영업/정상,13,영업중,,,,,02-490-2000,17230.07,,,서울특별시 중랑구 사가정로49길 53 (면목동),2221,녹색병원,2025-08-29 10:58,U,01:00.0,종합병원,207545.4314,453474.5801
3240000,PHMA220143240033021200001,2014-02-04,,1,영업/정상,13,영업중,,,,,02-2225-1234,13068.4,,,"서울특별시 강동구 진황도로61길 53, 서울요양병원 (둔촌동)",5368,한국보훈복지의료공단 서울요양병원,2025-07-30 10:13,U,02:00.0,요양병원(일반요양병원),212987.2011,447504.9488
3240000,PHMA220143240033021200005,2014-10-28,,1,영업/정상,13,영업중,,,,,02-1577-2533,812.14,134-814,서울특별시 강동구 길동 459번지 1호,서울특별시 강동구 천호대로 1133 (길동),5355,남기세병원,2025-08-20 14:36,U,03:00.0,병원,212084.0385,448058.4442
3210000,PHMA220073210034021200001,2007-12-31,,1,영업/정상,13,영업중,,,,,-8796,1995.29,,,서울특별시 서초구 반포대로9길 42 (서초동),6709,의료법인 부원의료재단 서초요양병원,2025-07-07 9:20,U,09:00.0,요양병원(일반요양병원),200757.4243,442326.1575
3230000,PHMA220133230034021200001,2013-07-15,,1,영업/정상,13,영업중,,,,,02-430-1122,8646.01,,서울특별시 송파구 가락동 57번지 B3-6층,"서울특별시 송파구 송이로 111, B3-6층 (가락동, 청석빌딩)",5716,송파드림재활병원,2025-06-20 13:53,U,02:00.0,병원,210736.9044,443841.3381
3230000,PHMA220143230034021200003,2014-04-15,,1,영업/정상,13,영업중,,,,,02-6959-5522,2117,,서울특별시 송파구 마천동 26번지 11호 보은빌딩,"서울특별시 송파구 마천로 227, 보은빌딩 (마천동)",5733,더사랑요양병원,2025-06-13 17:39,U,05:00.0,요양병원(일반요양병원),212587.4833,444278.471
3230000,PHMA220133230034021200002,2013-09-03,,1,영업/정상,13,영업중,,,,,02-1661-3379,2416.32,,서울특별시 송파구 잠실동 175-6 J타워,"서울특별시 송파구 올림픽로 76, J타워 3~7층 (잠실동)",5556,선수촌병원,2025-06-02 14:23,U,04:00.0,병원,206916.7584,445485.4448
3230000,PHMA220233230034021200001,2023-10-05,,1,영업/정상,13,영업중,,,,,1811-6235,2433.45,,서울특별시 송파구 풍납동 269-3 지하1~지상5층,"서울특별시 송파구 토성로 20, 다보라 지하1~5층 (풍납동)",5535,서울동행요양병원,2025-06-30 9:59,U,02:00.0,요양병원(일반요양병원),209893.622,447594.3554
3230000,PHMA220143230034021200002,2014-02-06,,1,영업/정상,13,영업중,,,,,02-1899-5230,2777.96,,,"서울특별시 송파구 송파대로 562, 2,3,8층 (신천동, 한빛프라자,삼성웰리스아파트)",5510,미래본병원,2025-05-19 15:04,U,01:00.0,병원,208730.6335,445905.0255
3210000,PHMA219783210034021200001,1978-05-23,,1,영업/정상,13,영업중,,,,,02-570-8000,23886.93,,,서울특별시 서초구 헌릉로 260 (내곡동),6801,서울특별시어린이병원,2025-07-11 11:07,U,03:00.0,병원,206059.8566,439252.1515
3210000,PHMA220093210034021200006,2009-11-02,,1,영업/정상,13,영업중,,,,,1577-8907,5862.84,,"서울특별시 서초구 반포동 736번지 9호 지하4층~9층/반포동 735-26 외1(지1층,2~4층)","서울특별시 서초구 강남대로 505 (반포동, 고도일 병원)",6536,고도일병원,2025-07-11 11:07,U,03:00.0,병원,201943.5243,444978.7891
3230000,PHMA219983230034021201557,1998-06-05,,1,영업/정상,13,영업중,,,,,02-405-8500,6957.17,,,서울특별시 송파구 오금로 290 (가락동),5700,서울병원,2025-06-02 17:05,U,04:00.0,병원,210957.4314,444640.8161
3240000,PHMA220123240033021200003,2012-08-03,,1,영업/정상,13,영업중,,,,,02-1661-9991,5273.4,,,서울특별시 강동구 양재대로 1580 (명일동),5295,사랑플러스병원,2025-08-20 14:32,U,03:00.0,병원,212618.6539,449389.3205
3210000,PHMA219803210034021200001,1980-05-02,,1,영업/정상,13,영업중,,,,,215881511,138964.24,,,서울특별시 서초구 반포대로 222 (반포동),6591,학교법인가톨릭학원가톨릭대학교서울성모병원,2025-07-25 17:10,U,07:00.0,종합병원,200394.226,444207.6945
3240000,PHMA220073240033021200002,2007-04-10,,1,영업/정상,13,영업중,,,,,02-488-0020,8143.99,,서울특별시 강동구 천호동 362번지 3호 로뎀빌딩,"서울특별시 강동구 올림픽로80길 31, 로뎀빌딩 (천호동)",5324,강동성모요양병원,2025-08-20 14:27,U,03:00.0,요양병원(일반요양병원),211171.4675,449037.2952
3240000,PHMA220063240033021200002,2006-02-27,,1,영업/정상,13,영업중,,,,,02-440-7114,47530.54,,,서울특별시 강동구 동남로 892 (상일동),5278,강동경희대학교의대병원,2025-08-20 14:31,U,03:00.0,종합병원,213839.3562,450118.2617
3240000,PHMA220033240033021200001,2003-12-05,,1,영업/정상,13,영업중,,,,,02-470-9114,18592.74,,서울특별시 강동구 천호동 452-1,서울특별시 강동구 천호대로 1043 (천호동),5335,서울미즈병원,2025-08-20 14:32,U,03:00.0,병원,211252.4971,448379.7058
3000000,PHMA219823000034021200001,1982-09-24,,3,폐업,3,폐업,2013-01-08,,,,02-730-5191,,110-300,서울특별시 종로구 관훈동 196-10,,,해정병원,2013-01-08 14:31,I,59:59.0,병원,,
3210000,PHMA220203210034021200001,2006-04-11,,1,영업/정상,13,영업중,,,,,02-570-1234,6868.12,,서울특별시 서초구 서초동 1426-1,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",6725,기쁨병원,2025-07-11 11:07,U,03:00.0,종합병원,201523.8174,442288.6854
3240000,PHMA219863240033021200001,1986-10-17,,1,영업/정상,13,영업중,,,,,02-2224-2114,51431.74,,,서울특별시 강동구 성안로 150 (길동),5355,성심의료재단강동성심병원,2025-08-20 14:33,U,03:00.0,종합병원,211883.6884,448216.5749
3240000,PHMA219833240033021200002,1983-11-16,,1,영업/정상,13,영업중,,,,,02-2225-1111,131353.8,,,서울특별시 강동구 진황도로61길 53 (둔촌동),5368,한국보훈복지의료공단 중앙보훈병원,2025-08-20 14:26,U,03:00.0,종합병원,212987.2011,447504.9488
3240000,PHMA220163240033021200002,2007-06-25,,1,영업/정상,13,영업중,,,,,02-2202-3114,3542.88,,,"서울특별시 강동구 올림픽로 546, G.M.F.빌딩 (성내동)",5398,청병원,2025-08-20 14:35,U,03:00.0,병원,210640.9755,447566.0839
3000000,PHMA220063000034021200001,2006-08-03,,3,폐업,3,폐업,2012-02-17,,,,02-732-2875,,110-773,서울특별시 종로구 종로2가 75번지 9호,서울특별시 종로구 종로 78 (종로2가),110-773,밀레니엄치과병원,2012-02-17 11:15,I,59:59.0,치과병원,198696.7922,451962.6824
3000000,PHMA219663000034021200001,1966-01-19,,3,폐업,3,폐업,2008-09-30,,,,02-760-5114,,110-126,서울특별시 종로구 종로6가 70,,,이대부속동대문병원,2009-10-19 10:59,I,59:59.0,종합병원,,
3200000,PHMA220063200033021200001,2008-05-09,,3,폐업,3,폐업,2010-03-31,,,,534-2500,,,관악구 봉천9동 937-15 (5-7층),,,서울e병원,2010-04-01 16:09,I,59:59.0,병원,,
3000000,PHMA219773000034021200001,1977-04-01,,1,영업/정상,13,영업중,,,,,02-2002-8000,17910,,,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",3181,서울적십자병원,2023-10-11 10:20,U,40:00.0,종합병원,197013.4902,451678.7875
3000000,PHMA220213000034021200001,2021-05-27,,1,영업/정상,13,영업중,,,,,02-730-7777,3788.49,,,"서울특별시 종로구 경희궁길 26, 썬타워빌딩 지하1층, 지상2,3,4,5,6,7층 (신문로2가)",3175,아미나요양병원,2025-06-20 15:28,U,02:00.0,요양병원(일반요양병원),197369.9254,452219.6052
3000000,PHMA220253000034021200001,2025-02-28,,1,영업/정상,13,영업중,,,,,1899-5868,4524.55,,서울특별시 종로구 원남동 177-1,"서울특별시 종로구 율곡로 164, 지하1,2층,1층일부,2~8층 (원남동)",3136,포레스트병원,2025-04-28 17:28,U,00:00.0,병원,199642.7162,452606.6144
3000000,PHMA220213000034021200002,2021-06-24,,1,영업/정상,13,영업중,,,,,1588-6858,5840.71,,,"서울특별시 종로구 새문안로5가길 33, 도반 빌딩 2~12층,14층일부 (내자동)",3170,도반한방병원,2025-04-04 17:17,U,06:00.0,한방병원,197539.9708,452504.0641
3000000,PHMA219893000034021200002,1989-10-12,,1,영업/정상,13,영업중,,,,,02-397-3915,7995.33,,,서울특별시 종로구 삼청로10길 13 (삼청동),3050,서울지구병원,2025-06-11 17:44,U,03:00.0,병원,198416.7761,453972.4409
3000000,PHMA219813000034021200001,1981-07-09,,1,영업/정상,13,영업중,,,,,1588-5700,202988,,,서울특별시 종로구 대학로 101 (연건동),3080,서울대학교병원,2025-05-27 16:23,U,09:00.0,종합병원,199824.096,452984.3605
3000000,PHMA220123000034021200001,2012-05-16,,1,영업/정상,13,영업중,,,,,02-1644-7541,2638.64,,서울특별시 종로구 평창동 158-1 글로리아타운,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층일부,3,5층 (평창동)",3009,로이병원,2024-03-26 14:26,U,40:00.0,병원,197212.3649,456055.2058
3000000,PHMA220183000034021200001,2018-04-16,,1,영업/정상,13,영업중,,,,,02-737-7582,3274.96,,서울특별시 종로구 숭인동 200번지 26호 진형빌딩,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)",3115,서울숭인병원,2024-07-31 15:09,U,40:00.0,병원,201728.0108,452416.8255
3000000,PHMA219873000034021200001,1987-04-24,,1,영업/정상,13,영업중,,,,,02-737-0181,9799.51,,,서울특별시 종로구 통일로 256 (무악동),3030,세란병원,2025-08-27 10:23,U,09:00.0,종합병원,196173.8536,452543.7122
3000000,PHMA220043000034021200001,2004-09-01,,1,영업/정상,13,영업중,,,,,1522-2700,20778.51,,,서울특별시 종로구 대학로 101 (연건동),3080,서울대학교치과병원,2025-07-07 10:17,U,09:00.0,치과병원,199824.096,452984.3605
3000000,PHMA220223000034021200001,2022-04-27,,1,영업/정상,13,영업중,,,,,02-6213-1010,2406,,,"서울특별시 종로구 대학로 89, 대학로빌딩 지하1, 지상2~6층 (연건동)",3082,리움한방병원,2025-07-25 10:51,U,07:00.0,한방병원,200089.0045,452986.2068
3000000,PHMA219793000034021200001,1979-03-24,,1,영업/정상,13,영업중,,,,,02-2001-2001,53251.96,110-746,서울특별시 종로구 평동 108,서울특별시 종로구 새문안로 29 (평동),3181,강북삼성병원,2025-07-28 12:55,U,00:00.0,종합병원,197111.9696,451776.4437
3010000,PHMA220023010033021200001,2002-09-02,,3,폐업,3,폐업,2017-07-29,,,,02-723-0020,,,,"서울특별시 중구 세종대로21길 52, 1층 (태평로1가, 조선일보광화문빌딩)",4519,산치과병원,2017-07-28 17:15,I,59:59.0,치과병원,197821.219,451827.081
3010000,PHMA220053010033021200001,2005-09-16,,3,폐업,3,폐업,2011-06-02,,,,2264-2875,,100-846,서울특별시 중구 을지로3가 302-1 1층,,,사단법인) 누가선교회 누가치과병원,2011-06-02 13:52,I,59:59.0,치과병원,,
3010000,PHMA220103010033021200001,2010-06-01,,3,폐업,3,폐업,2015-02-14,,,,734-2879,,100-091,서울특별시 중구 남대문로1가 18번지  대일빌딩 11층,"서울특별시 중구 남대문로 120 (남대문로1가,대일빌딩 11층)",,네모치과병원(명동점),2015-02-13 15:16,I,59:59.0,치과병원,198432.2954,451739.3402
3010000,PHMA220103010033021200002,2010-07-27,,3,폐업,3,폐업,2013-01-02,,,,2238-2211,,100-824,서울특별시 중구 신당동 291번지 48호,서울특별시 중구 다산로36길 11 (신당동),100-824,동산요양병원,2013-09-11 15:01,I,59:59.0,요양병원(일반요양병원),201362.6956,451177.2225
3010000,PHMA220113010033021200001,2011-06-02,,3,폐업,3,폐업,2024-05-31,2023-11-20,2024-11-19,,02-970-8403,247.2,100-846,서울특별시 중구 을지로3가 302번지 1호,서울특별시 중구 을지로14길 12 (을지로3가),100-846,을지치과병원,2024-06-07 9:17,U,40:00.0,치과병원,199213.9958,451479.2513
3010000,PHMA219763010033021200001,1976-03-10,,3,폐업,3,폐업,2023-09-01,,,,02-2270-0114,19019.3,,,서울특별시 중구 마른내로 9 (저동2가),4551,인제대학교 서울백병원,2023-11-02 8:15,U,40:00.0,종합병원,,
3010000,PHMA219813010033021200001,1981-12-01,,3,폐업,3,폐업,2021-12-16,2021-04-26,2021-05-31,,02-2000-7114,,100-380,서울특별시 중구 묵정동 1번지 19호,서울특별시 중구 서애로1길 17 (묵정동),4619,의료법인 제일의료재단 제일병원,2021-12-17 13:42,U,40:00.0,병원,199856.4234,451026.2277
3010000,PHMA220163010033021200001,2016-07-08,,3,폐업,3,폐업,2024-12-30,,,,02-2165-0965,2454.42,,"서울특별시 중구 순화동 1-170 케이지타워 1,2,8층","서울특별시 중구 통일로 92, 케이지타워 1,2,8층 (순화동)",4517,광화문자생한방병원,2024-12-27 13:02,U,40:00.0,한방병원,197214.2058,451259.6719
3010000,PHMA220063010033021200001,2006-03-02,,1,영업/정상,13,영업중,,,,,2252-0202,1317.7,,서울특별시 중구 신당동 422-4 반도정형외과,"서울특별시 중구 동호로 202, 반도정형외과 (신당동)",4607,반도정형외과병원,2024-04-16 16:33,U,40:00.0,병원,200823.5125,450412.5869
