번호,시각,스레드,소요시간(ms),SQL타입,커넥션ID,테이블,SQL(200자)
11,2025-12-17 21:09:08.656,scheduling-1,7,SELECT,1,ANALYSIS_ENTERTAINMENT_STATISTICS,"SELECT district, COUNT(*) AS count FROM (     SELECT         CASE             WHEN REGEXP_SUBSTR(e.ROAD_ADDRESS, '서울특별시\s*(강남구|강동구|강북구|강서구|관악구|광진구|구로구|금천구|노원구|도봉구|동대문구|동작구|마포구|서대문구|서초구|성동구|성북구|송파구|양천구"
12,2025-12-17 21:09:08.657,scheduling-1,8,SELECT,18,ANALYSIS_ENTERTAINMENT_STATISTICS,"SELECT district, COUNT(*) AS count FROM (     SELECT         CASE             WHEN REGEXP_SUBSTR(e.ROAD_ADDRESS, '서울특별시\s*(강남구|강동구|강북구|강서구|관악구|광진구|구로구|금천구|노원구|도봉구|동대문구|동작구|마포구|서대문구|서초구|성동구|성북구|송파구|양천구"
13,2025-12-17 21:09:16.078,http-nio-8185-exec-6,14,SELECT,8,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
14,2025-12-17 21:09:16.078,http-nio-8185-exec-37,14,SELECT,2,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
15,2025-12-17 21:09:16.078,http-nio-8185-exec-27,14,SELECT,4,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
16,2025-12-17 21:09:16.078,http-nio-8185-exec-45,14,SELECT,3,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
17,2025-12-17 21:09:16.078,http-nio-8185-exec-30,14,SELECT,9,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
18,2025-12-17 21:09:16.078,http-nio-8185-exec-6,15,SELECT,25,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
19,2025-12-17 21:09:16.078,http-nio-8185-exec-50,14,SELECT,10,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
20,2025-12-17 21:09:16.078,http-nio-8185-exec-27,15,SELECT,22,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
21,2025-12-17 21:09:16.078,http-nio-8185-exec-37,15,SELECT,21,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
22,2025-12-17 21:09:16.078,http-nio-8185-exec-42,14,SELECT,6,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
23,2025-12-17 21:09:16.078,http-nio-8185-exec-30,15,SELECT,27,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
24,2025-12-17 21:09:16.078,http-nio-8185-exec-19,14,SELECT,5,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
25,2025-12-17 21:09:16.078,http-nio-8185-exec-32,14,SELECT,1,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
26,2025-12-17 21:09:16.078,http-nio-8185-exec-50,15,SELECT,28,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
27,2025-12-17 21:09:16.078,http-nio-8185-exec-45,15,SELECT,19,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
28,2025-12-17 21:09:16.078,http-nio-8185-exec-20,14,SELECT,7,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
29,2025-12-17 21:09:16.078,http-nio-8185-exec-32,15,SELECT,20,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
30,2025-12-17 21:09:16.078,http-nio-8185-exec-42,15,SELECT,24,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
31,2025-12-17 21:09:16.079,http-nio-8185-exec-20,15,SELECT,26,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
32,2025-12-17 21:09:16.078,http-nio-8185-exec-19,15,SELECT,23,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
33,2025-12-17 21:09:16.108,http-nio-8185-exec-32,6,SELECT,1,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
34,2025-12-17 21:09:16.108,http-nio-8185-exec-37,6,SELECT,2,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
35,2025-12-17 21:09:16.108,http-nio-8185-exec-19,6,SELECT,5,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
36,2025-12-17 21:09:16.108,http-nio-8185-exec-42,6,SELECT,6,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
37,2025-12-17 21:09:16.108,http-nio-8185-exec-27,6,SELECT,4,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
38,2025-12-17 21:09:16.109,http-nio-8185-exec-50,6,SELECT,10,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
39,2025-12-17 21:09:16.108,http-nio-8185-exec-20,6,SELECT,7,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
40,2025-12-17 21:09:16.109,http-nio-8185-exec-37,6,SELECT,21,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
41,2025-12-17 21:09:16.108,http-nio-8185-exec-6,6,SELECT,8,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
42,2025-12-17 21:09:16.108,http-nio-8185-exec-45,6,SELECT,3,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
43,2025-12-17 21:09:16.109,http-nio-8185-exec-42,6,SELECT,24,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
44,2025-12-17 21:09:16.109,http-nio-8185-exec-32,6,SELECT,20,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
45,2025-12-17 21:09:16.108,http-nio-8185-exec-30,6,SELECT,9,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
46,2025-12-17 21:09:16.109,http-nio-8185-exec-19,6,SELECT,23,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
47,2025-12-17 21:09:16.109,http-nio-8185-exec-45,6,SELECT,19,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
48,2025-12-17 21:09:16.109,http-nio-8185-exec-50,6,SELECT,28,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
49,2025-12-17 21:09:16.109,http-nio-8185-exec-30,6,SELECT,27,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
50,2025-12-17 21:09:16.109,http-nio-8185-exec-27,6,SELECT,22,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
51,2025-12-17 21:09:16.109,http-nio-8185-exec-20,6,SELECT,26,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
52,2025-12-17 21:09:16.109,http-nio-8185-exec-6,6,SELECT,25,REVIEWS,"select r1_0.REVIEW_ID,r1_0.CONTENT,r1_0.CREATED_AT,r1_0.PROPERTY_ID,r1_0.RATING,r1_0.UPDATED_AT,r1_0.USER_ID from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444') order by r"
53,2025-12-17 21:09:16.121,http-nio-8185-exec-30,0,SELECT,9,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
54,2025-12-17 21:09:16.121,http-nio-8185-exec-27,0,SELECT,4,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
55,2025-12-17 21:09:16.121,http-nio-8185-exec-19,0,SELECT,5,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
56,2025-12-17 21:09:16.121,http-nio-8185-exec-50,0,SELECT,10,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
57,2025-12-17 21:09:16.121,http-nio-8185-exec-37,0,SELECT,2,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
58,2025-12-17 21:09:16.121,http-nio-8185-exec-32,0,SELECT,1,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
59,2025-12-17 21:09:16.121,http-nio-8185-exec-42,0,SELECT,6,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
60,2025-12-17 21:09:16.121,http-nio-8185-exec-45,0,SELECT,3,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
61,2025-12-17 21:09:16.121,http-nio-8185-exec-37,0,SELECT,21,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
62,2025-12-17 21:09:16.121,http-nio-8185-exec-30,0,SELECT,27,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
63,2025-12-17 21:09:16.121,http-nio-8185-exec-32,0,SELECT,20,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
64,2025-12-17 21:09:16.121,http-nio-8185-exec-20,0,SELECT,7,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
65,2025-12-17 21:09:16.121,http-nio-8185-exec-6,0,SELECT,8,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
66,2025-12-17 21:09:16.121,http-nio-8185-exec-19,0,SELECT,23,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
67,2025-12-17 21:09:16.121,http-nio-8185-exec-50,0,SELECT,28,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
68,2025-12-17 21:09:16.121,http-nio-8185-exec-45,0,SELECT,19,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
69,2025-12-17 21:09:16.121,http-nio-8185-exec-42,0,SELECT,24,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
70,2025-12-17 21:09:16.121,http-nio-8185-exec-6,1,SELECT,25,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
71,2025-12-17 21:09:16.121,http-nio-8185-exec-27,0,SELECT,22,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
72,2025-12-17 21:09:16.121,http-nio-8185-exec-20,0,SELECT,26,REVIEWS,select count(r1_0.REVIEW_ID) from REVIEWS r1_0 where r1_0.PROPERTY_ID in ('44444444444444444444444444444444')
73,2025-12-17 21:09:16.128,http-nio-8185-exec-20,2,SELECT,7,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
74,2025-12-17 21:09:16.129,http-nio-8185-exec-20,2,SELECT,26,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
75,2025-12-17 21:09:16.133,http-nio-8185-exec-41,0,SELECT,7,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
76,2025-12-17 21:09:16.133,http-nio-8185-exec-41,0,SELECT,29,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '관악산 삼성산 주공 3단지' || '%'
77,2025-12-17 21:09:16.134,http-nio-8185-exec-19,7,SELECT,5,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
78,2025-12-17 21:09:16.134,http-nio-8185-exec-27,7,SELECT,4,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
79,2025-12-17 21:09:16.134,http-nio-8185-exec-32,7,SELECT,1,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
80,2025-12-17 21:09:16.134,http-nio-8185-exec-6,7,SELECT,8,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
81,2025-12-17 21:09:16.134,http-nio-8185-exec-45,7,SELECT,3,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
82,2025-12-17 21:09:16.134,http-nio-8185-exec-50,7,SELECT,10,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
83,2025-12-17 21:09:16.134,http-nio-8185-exec-37,7,SELECT,2,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
84,2025-12-17 21:09:16.134,http-nio-8185-exec-32,8,SELECT,20,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
85,2025-12-17 21:09:16.134,http-nio-8185-exec-19,8,SELECT,23,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
86,2025-12-17 21:09:16.134,http-nio-8185-exec-42,8,SELECT,6,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY","SELECT property_id, apt_nm FROM properties_charter WHERE property_id IN ('44444444444444444444444444444444') UNION ALL SELECT property_id, apt_nm FROM properties_monthly WHERE property_id IN ('4444444"
